City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
233,Iglesias,IT,80.02,clear sky,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
236,Nanzhou,CN,80.67,overcast clouds,29.3596,112.4024,兴禹国际大酒店
238,Touros,BR,75.51,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
242,Diffa,NE,78.3,overcast clouds,13.3154,12.6113,ProDAF/Diffa
247,Guerrero Negro,MX,77.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
248,Jose De Freitas,BR,88.75,overcast clouds,-4.7564,-42.5756,É Antônio de Souza construção
249,Abonnema,NG,75.72,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
257,Hambantota,LK,78.76,overcast clouds,6.1241,81.1185,Bungalow 63
264,Takoradi,GH,75.6,light rain,4.8845,-1.7554,Raybow International Hotel
265,Pompeia,BR,75.13,broken clouds,-22.1086,-50.1717,Hotel Pousada Vale do Sol
267,Dong Hoi,VN,79.34,scattered clouds,17.4833,106.6,Nam Long Hotel
271,Niamey,NE,88.09,thunderstorm,13.5137,2.1098,Soluxe Hotel Niamey
279,Hede,CN,75.56,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
280,Coxim,BR,87.71,broken clouds,-18.5067,-54.76,Hotel Avenida
285,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
286,Watertown,US,87.53,scattered clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
290,Aloleng,PH,81.75,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
291,Bandarbeyla,SO,78.91,overcast clouds,9.4942,50.8122,JABIR HOTEL
294,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
300,Mandiana,GN,76.46,few clouds,10.6333,-8.6833,Motels rouzo
301,Tual,ID,79.23,broken clouds,-5.6667,132.75,Grand Vilia Hotel
306,Kulhudhuffushi,MV,81.16,overcast clouds,6.6221,73.07,Haajy Guest House 1
309,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
311,Maturin,VE,76.68,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
313,Puerto Colombia,CO,87.89,few clouds,10.9878,-74.9547,Hotel El Emigrante
314,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
320,Constantine,DZ,80.01,clear sky,36.365,6.6147,Grand Hotel Cirta
325,Asheville,US,86.38,broken clouds,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
330,Sorong,ID,76.69,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
332,Concepcion Del Oro,MX,76.14,overcast clouds,24.6333,-101.4167,Hotel Hacienda San Javier
334,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
336,Porbandar,IN,81.39,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
338,Portland,US,81.61,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
339,Santa Clara,CU,83.86,broken clouds,22.4,-79.9667,El Carmen
342,Acarau,BR,79.25,broken clouds,-2.8856,-40.12,castelo pizzaria
345,Teknaf,BD,79.9,overcast clouds,20.8624,92.3058,Forestry Guesthouse
346,Garowe,SO,78.39,overcast clouds,8.4054,48.4845,Curubo Hotel
348,Nusaybin,TR,88.68,clear sky,37.0778,41.2178,Aydinlar Hotel
351,Stettler,CA,80.74,clear sky,52.3168,-112.7186,Ramada by Wyndham Stettler
354,Hyeres,FR,82.42,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
365,Reguengos De Monsaraz,PT,82.17,overcast clouds,38.4253,-7.5349,Residencial O Gato
366,Juquitiba,BR,76.37,broken clouds,-23.9317,-47.0683,Hotel Juquiti
367,Wilmington,US,85.95,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
369,Worthington,US,86.18,clear sky,40.0931,-83.018,Sheraton Suites Columbus Worthington
371,Bend,US,90.0,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
373,Sulangan,PH,83.35,broken clouds,11.1373,123.7228,Maia's Beach Resort
378,Dano,BF,80.11,moderate rain,11.15,-3.0667,Auberge Phenix32-Dano
