City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Puerto Narino,CO,-3.7703,-70.3831,80.71,75,93,3.76,overcast clouds
80,Ancud,CL,-41.8697,-73.8203,44.22,71,0,4.68,clear sky
81,Pevek,RU,69.7008,170.3133,36.93,70,100,4.47,overcast clouds
82,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,40,16.17,scattered clouds
83,Annau,TM,37.8876,58.516,87.3,13,0,4.61,clear sky
84,Hobart,AU,-42.8794,147.3294,45.27,85,75,10.36,light rain
85,San Antonio,US,29.4241,-98.4936,97.32,48,75,16.11,broken clouds
86,Umm Kaddadah,SD,13.6017,26.6876,77.92,69,86,11.34,overcast clouds
87,Bengkulu,ID,-3.8004,102.2655,75.56,88,100,3.42,overcast clouds
88,Kirakira,SB,-10.4544,161.9205,80.01,80,71,8.12,broken clouds
89,Nikolskoye,RU,59.7035,30.7861,58.91,95,61,5.26,broken clouds
90,Vagur,FO,61.4732,-6.8119,48.65,77,81,6.11,broken clouds
91,Sur,OM,22.5667,59.5289,87.64,68,100,12.71,overcast clouds
92,Gubkinskiy,RU,64.434,76.5026,55.56,58,98,5.75,overcast clouds
93,Vallenar,CL,-28.5708,-70.7581,40.6,93,100,3.85,light rain
94,Jesup,US,31.6074,-81.8854,86.72,66,40,0.0,scattered clouds
95,Torbay,CA,47.6666,-52.7314,72.88,83,75,6.91,broken clouds
96,Ilulissat,GL,69.2167,-51.1,53.62,47,20,5.75,few clouds
97,Ciudad Bolivar,VE,8.1222,-63.5497,83.57,71,91,4.68,overcast clouds
98,Hithadhoo,MV,-0.6,73.0833,83.39,74,97,16.15,overcast clouds
99,Dingle,PH,10.9995,122.6711,76.33,91,97,0.63,overcast clouds
100,Xining,CN,36.6167,101.7667,58.03,94,100,1.23,overcast clouds
101,Ondjiva,AO,-17.0667,15.7333,58.08,33,0,7.67,clear sky
102,Longyearbyen,SJ,78.2186,15.6401,57.04,62,75,16.11,broken clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,0,17.27,clear sky
104,Cidreira,BR,-30.1811,-50.2056,62.31,97,99,10.42,light rain
105,Pangnirtung,CA,66.1451,-65.7125,55.4,67,20,9.22,few clouds
106,Fortuna,US,40.5982,-124.1573,71.92,68,0,3.0,clear sky
107,Port Alfred,ZA,-33.5906,26.891,57.18,89,13,1.01,few clouds
108,Sampit,ID,-2.5333,112.95,73.06,99,65,2.59,broken clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,75,6.91,broken clouds
110,Yulara,AU,-25.2406,130.9889,44.58,29,0,3.87,clear sky
111,Khorramshahr,IR,30.4397,48.1664,96.75,23,0,6.91,clear sky
112,Matara,LK,5.9485,80.5353,76.1,92,72,8.84,broken clouds
113,Kamenka,RU,51.3223,42.7678,63.82,65,0,5.48,clear sky
114,Sitka,US,57.0531,-135.33,55.29,88,75,9.22,broken clouds
115,Faanui,PF,-16.4833,-151.75,77.83,59,76,19.6,broken clouds
116,Airai,TL,-8.9266,125.4092,53.69,90,96,3.96,overcast clouds
117,Basco,PH,20.4487,121.9702,84.74,84,100,20.85,overcast clouds
118,Taoudenni,ML,22.6783,-3.9836,103.75,6,0,24.09,clear sky
119,Sakakah,SA,29.9697,40.2064,90.97,18,0,8.57,clear sky
120,Senneterre,CA,48.3835,-77.2328,73.8,38,100,6.26,overcast clouds
121,Prainha,BR,-1.8,-53.48,80.92,80,100,2.89,overcast clouds
122,Georgetown,MY,5.4112,100.3354,82.89,90,20,2.3,few clouds
123,Carnarvon,AU,-24.8667,113.6333,63.99,61,0,12.19,clear sky
124,Komsomolskiy,UZ,40.4272,71.7189,77.72,31,0,4.61,clear sky
125,Kingisepp,RU,59.3733,28.6134,53.73,96,88,6.15,overcast clouds
126,Road Town,VG,18.4167,-64.6167,87.89,70,40,13.8,scattered clouds
127,Igrim,RU,63.1906,64.4162,64.11,90,66,6.26,broken clouds
128,Port Hedland,AU,-20.3167,118.5667,55.45,58,6,9.22,clear sky
129,Asmara,ER,15.3333,38.9333,63.45,67,36,7.65,scattered clouds
130,Raton,US,36.9034,-104.4391,93.06,24,0,8.05,clear sky
131,Bilma,NE,18.6853,12.9164,81.75,63,92,22.08,overcast clouds
132,Pereira Barreto,BR,-20.6383,-51.1092,80.82,30,85,6.93,overcast clouds
133,Gidole,ET,5.65,37.3667,57.74,76,99,2.84,overcast clouds
134,Hope,US,33.6671,-93.5916,98.65,26,0,5.59,clear sky
135,Panama City,PA,8.9936,-79.5197,87.75,81,40,9.22,scattered clouds
136,Carballo,ES,43.213,-8.691,68.77,84,81,2.15,broken clouds
137,Kuching,MY,1.55,110.3333,73.62,100,20,2.3,few clouds
138,Sembakung,ID,3.8167,117.25,72.27,99,98,1.43,light rain
139,Yar-Sale,RU,66.8333,70.8333,52.68,64,0,8.03,clear sky
140,Bratsk,RU,56.1325,101.6142,52.29,85,100,3.24,overcast clouds
141,Camana,PE,-16.6228,-72.7111,62.19,77,22,11.7,few clouds
142,Fairbanks,US,64.8378,-147.7164,69.6,44,0,9.22,clear sky
143,Jiayuguan,CN,39.8167,98.3,69.48,46,100,4.29,overcast clouds
144,Trinidad,BO,-14.8333,-64.9,85.98,70,75,9.22,broken clouds
145,Vestmannaeyjar,IS,63.4427,-20.2734,52.07,91,100,28.1,overcast clouds
146,Dikson,RU,73.5069,80.5464,47.44,71,100,5.1,overcast clouds
147,Skalat,UA,49.4273,25.9787,54.55,77,0,3.98,clear sky
148,Tiarei,PF,-17.5333,-149.3333,78.82,71,30,23.33,scattered clouds
149,Saint-Joseph,RE,-21.3667,55.6167,64.2,79,38,12.28,light rain
150,Nyazepetrovsk,RU,56.0531,59.6028,60.42,95,82,7.74,broken clouds
151,Thompson,CA,55.7435,-97.8558,82.56,32,40,18.41,scattered clouds
152,Thunder Bay,CA,48.4001,-89.3168,76.91,53,20,10.36,few clouds
153,Nemuro,JP,43.3236,145.575,61.03,86,100,11.92,overcast clouds
154,Charcas,MX,23.1333,-101.1167,72.19,47,80,13.44,broken clouds
155,Tongzi,CN,28.7829,105.0877,81.14,87,99,1.86,overcast clouds
156,Castro,BR,-24.7911,-50.0119,63.14,65,98,5.21,overcast clouds
157,Westport,US,41.1415,-73.3579,87.3,48,0,9.22,clear sky
158,Chimbote,PE,-9.0853,-78.5783,65.07,75,50,14.32,scattered clouds
159,Hasaki,JP,35.7333,140.8333,73.8,96,98,7.09,overcast clouds
160,Batsfjord,NO,70.6345,29.7185,67.78,63,0,10.36,clear sky
161,Mar Del Plata,AR,-38.0023,-57.5575,51.82,96,100,8.05,drizzle
162,San,ML,13.3034,-4.8956,90.05,43,50,8.61,light rain
163,Bluefield,US,37.2698,-81.2223,81.14,46,40,8.05,scattered clouds
164,Isangel,VU,-19.55,169.2667,72.14,71,100,18.14,overcast clouds
165,Chokurdakh,RU,70.6333,147.9167,51.24,74,49,18.28,scattered clouds
166,Saint-Augustin,CA,51.226,-58.6502,65.07,53,46,16.87,scattered clouds
167,Narsaq,GL,60.9167,-46.05,62.82,66,36,6.24,scattered clouds
168,Togur,RU,58.3631,82.8265,52.63,82,44,3.04,scattered clouds
169,Kishi,NG,9.0833,3.85,73.54,89,75,8.39,broken clouds
170,Henties Bay,NA,-22.116,14.2845,70.18,35,0,6.49,clear sky
